Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
p1,0.1,0.2,True,True,0.9468641529479984,26.0,two-sided,0.3524258002667484,1.0,bonf,0.306,0.2009780319178099
p1,0.1,0.3,True,True,1.4386580003966414,26.0,two-sided,0.1621775173545806,1.0,bonf,0.511,0.4075800288254573
p1,0.1,0.4,True,True,2.453541317194067,26.0,two-sided,0.021161371175995838,0.5925183929278834,bonf,2.496,0.6067304289832597
p1,0.1,0.6,True,True,0.08867524773841817,26.0,two-sided,0.930019520987477,1.0,bonf,0.205,0.024671657737670147
p1,0.1,0.7,True,True,-0.8964576753178944,26.0,two-sided,0.3782340269485822,1.0,bonf,0.294,-0.22604020850797216
p1,0.1,0.8,True,True,-3.1839256063811843,26.0,two-sided,0.00374908047824713,0.10497425339091963,bonf,10.767,-0.6903320757452718
p1,0.1,0.9,True,True,-4.349796016895623,26.0,two-sided,0.0001868856048873393,0.0052327969368455,bonf,151.106,-0.6857268388930319
p1,0.2,0.3,True,True,0.7281342220708584,26.0,two-sided,0.4730387170686805,1.0,bonf,0.26,0.1752584188188808
p1,0.2,0.4,True,True,1.5183566450746573,26.0,two-sided,0.140991682414562,1.0,bonf,0.565,0.3630229823922135
p1,0.2,0.6,True,True,-0.7300627863445202,26.0,two-sided,0.4718790417641884,1.0,bonf,0.26,-0.18673799736331267
p1,0.2,0.7,True,True,-1.8636744465566113,26.0,two-sided,0.07369893878517544,1.0,bonf,0.919,-0.436611753071526
p1,0.2,0.8,True,True,-4.945511990849333,26.0,two-sided,3.880122882913301e-05,0.001086434407215724,bonf,623.383,-0.8791430272698413
p1,0.2,0.9,True,True,-4.117705436223967,26.0,two-sided,0.00034373049720267095,0.009624453921674787,bonf,87.677,-0.8645926656686652
p1,0.3,0.4,True,True,1.5506850993856385,26.0,two-sided,0.13306546128173874,1.0,bonf,0.59,0.20961685106500724
p1,0.3,0.6,True,True,-1.92624627460372,26.0,two-sided,0.06507279534646579,1.0,bonf,1.012,-0.4044291580846947
p1,0.3,0.7,True,True,-3.3276498964057803,26.0,two-sided,0.0026207048477585133,0.07337973573723837,bonf,14.675,-0.7099412844243596
p1,0.3,0.8,True,True,-4.519749707150158,26.0,two-sided,0.00011941425296171372,0.003343599082927984,bonf,225.875,-1.2444056420815528
p1,0.3,0.9,True,True,-4.589837495858365,26.0,two-sided,9.92496950972405e-05,0.002778991462722734,bonf,266.779,-1.1837922423162812
p1,0.4,0.6,True,True,-2.731109854795489,26.0,two-sided,0.011185722465273353,0.3132002290276539,bonf,4.243,-0.6149037285772877
p1,0.4,0.7,True,True,-4.420449374306582,26.0,two-sided,0.00015515483702901035,0.00434433543681229,bonf,178.538,-0.9402694248796292
p1,0.4,0.8,True,True,-5.663844691607237,26.0,two-sided,5.884992976925637e-06,0.00016477980335391783,bonf,3480.806,-1.4929256045148604
p1,0.4,0.9,True,True,-6.272185754274634,26.0,two-sided,1.2246281071286256e-06,3.428958699960152e-05,bonf,1.475e+04,-1.408462471774774
p1,0.6,0.7,True,True,-1.566683729394606,26.0,two-sided,0.129280069974695,1.0,bonf,0.602,-0.26934258588730214
p1,0.6,0.8,True,True,-3.136092877137316,26.0,two-sided,0.004219084748619189,0.11813437296133729,bonf,9.726,-0.7725341779719501
p1,0.6,0.9,True,True,-2.695351144193338,26.0,two-sided,0.012161952353226396,0.3405346658903391,bonf,3.955,-0.7559287102494646
p1,0.7,0.8,True,True,-2.529822128134703,26.0,two-sided,0.017810729680071163,0.4987004310419926,bonf,2.878,-0.5453642385792224
p1,0.7,0.9,True,True,-2.339590607462407,26.0,two-sided,0.027258498981124073,0.7632379714714741,bonf,2.028,-0.544051687365567
p1,0.8,0.9,True,True,-0.2882711911801159,26.0,two-sided,0.7754247984992811,1.0,bonf,0.212,-0.06522865462193263
