Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
p1,0.1,0.2,True,True,-0.6227585104124785,26.0,two-sided,0.5388675930669241,1.0,bonf,0.243,-0.06965561885435965
p1,0.1,0.3,True,True,2.0884755237029142,26.0,two-sided,0.046691697704008515,1.0,bonf,1.315,0.19850694877773936
p1,0.1,0.4,True,True,-1.1143567852246063,26.0,two-sided,0.27532163520627123,1.0,bonf,0.357,-0.1142201947324795
p1,0.1,0.6,True,True,-0.992865545036853,26.0,two-sided,0.32992642087005,1.0,bonf,0.318,-0.17146114281275673
p1,0.1,0.7,True,True,-1.871713455173667,26.0,two-sided,0.07253791030075732,1.0,bonf,0.931,-0.3505109864538992
p1,0.1,0.8,True,True,-1.8353258709644937,26.0,two-sided,0.07792234201289712,1.0,bonf,0.881,-0.3583947527347621
p1,0.1,0.9,True,True,-3.3945560161088046,26.0,two-sided,0.0022149835370999776,0.06201953903879937,bonf,16.984,-0.7342025518686509
p1,0.2,0.3,True,True,1.976860000132204,26.0,two-sided,0.05875327858589033,1.0,bonf,1.096,0.2678941993549818
p1,0.2,0.4,True,True,-0.3453491784352061,26.0,two-sided,0.7326103674646081,1.0,bonf,0.215,-0.044456170413442436
p1,0.2,0.6,True,True,-0.5312561084118055,26.0,two-sided,0.5997509850776453,1.0,bonf,0.232,-0.10381641458577047
p1,0.2,0.7,True,True,-1.5258958709411417,26.0,two-sided,0.13910966781947026,1.0,bonf,0.571,-0.28625538516419924
p1,0.2,0.8,True,True,-1.3002161203639104,26.0,two-sided,0.204935353937255,1.0,bonf,0.434,-0.2955585081069691
p1,0.2,0.9,True,True,-3.145731182178862,26.0,two-sided,0.004120046051362096,0.11536128943813867,bonf,9.927,-0.6849003340847115
p1,0.3,0.4,True,True,-2.1439881256371103,26.0,two-sided,0.04155650592254958,1.0,bonf,1.442,-0.31250986180699697
p1,0.3,0.6,True,True,-2.365132746568642,26.0,two-sided,0.02576652937345312,0.7214628224566874,bonf,2.123,-0.364826401096539
p1,0.3,0.7,True,True,-3.000682982365139,26.0,two-sided,0.005875702762396965,0.16451967734711503,bonf,7.323,-0.5358057766016638
p1,0.3,0.8,True,True,-3.076923076923076,26.0,two-sided,0.004878966223004508,0.13661105424412623,bonf,8.585,-0.540511350200013
p1,0.3,0.9,True,True,-4.09318520519511,26.0,two-sided,0.00036650897101329655,0.010262251188372304,bonf,82.809,-0.887209861588882
p1,0.4,0.6,True,True,-0.3211284021529561,26.0,two-sided,0.7506802654471494,1.0,bonf,0.214,-0.06100389552749903
p1,0.4,0.7,True,True,-1.2976662991055121,26.0,two-sided,0.20579761340564723,1.0,bonf,0.433,-0.24636496740932382
p1,0.4,0.8,True,True,-1.2316103990397242,26.0,two-sided,0.22911841469891694,1.0,bonf,0.402,-0.2566800617184477
p1,0.4,0.9,True,True,-3.222011162644132,26.0,two-sided,0.003411255430935526,0.09551515206619474,bonf,11.681,-0.6577694029969866
p1,0.6,0.7,True,True,-2.096152367697385,26.0,two-sided,0.04594938802831074,1.0,bonf,1.331,-0.18085030671172
p1,0.6,0.8,True,True,-3.074824459143229,26.0,two-sided,0.0049040967165520696,0.13731470806345794,bonf,8.548,-0.19269572601839519
p1,0.6,0.9,True,True,-3.9468096905180374,26.0,two-sided,0.0005369880712253084,0.015035665994308636,bonf,58.983,-0.5833673342906095
p1,0.7,0.8,True,True,-0.14634481184473655,26.0,two-sided,0.8847779840410149,1.0,bonf,0.206,-0.017445496489420117
p1,0.7,0.9,True,True,-2.798450517912514,26.0,two-sided,0.009544013665057497,0.2672323826216099,bonf,4.85,-0.4233829698752697
p1,0.8,0.9,True,True,-2.59482986673553,26.0,two-sided,0.01535067139867257,0.42981879916283194,bonf,3.256,-0.3870269958967915
