sub_id,mean_consistency,std_consistency,min_consistency,max_consistency,n_decision_problems
1,0.9305555555555556,0.13069574266899325,0.6,1.0,72
2,0.8944444444444445,0.14230386936519585,0.6,1.0,72
3,0.8777777777777778,0.1558459172444139,0.6,1.0,72
4,0.9194444444444443,0.14106125818328152,0.6,1.0,72
5,0.8416666666666667,0.16076402092052572,0.6,1.0,72
7,0.9527777777777777,0.10873436066560722,0.6,1.0,72
8,0.9166666666666666,0.13737990914474973,0.6,1.0,72
9,0.911111111111111,0.14969975166797128,0.6,1.0,72
10,0.9888888888888889,0.046133778390753964,0.8,1.0,72
11,0.9249999999999999,0.1275445241231579,0.6,1.0,72
12,0.9388888888888888,0.10948735286865177,0.6,1.0,72
13,0.9861111111111112,0.05119846926506758,0.8,1.0,72
14,0.9055555555555554,0.14230386936519587,0.6,1.0,72
15,0.8861111111111111,0.1531873156551196,0.6,1.0,72
16,0.9444444444444444,0.12205850466170064,0.6,1.0,72
17,0.9388888888888888,0.12396677832518484,0.6,1.0,72
18,0.9444444444444444,0.10732193098388389,0.6,1.0,72
19,0.9472222222222223,0.10611211480160139,0.6,1.0,72
20,0.9611111111111111,0.09277498988436389,0.6,1.0,72
21,0.9777777777777779,0.0791187772129236,0.6,1.0,72
22,0.9583333333333334,0.11101325894672145,0.6,1.0,72
23,0.9194444444444443,0.13700918946140112,0.6,1.0,72
24,0.8055555555555555,0.17433082431609517,0.6,1.0,72
25,0.9444444444444444,0.10732193098388387,0.6,1.0,72
26,0.9277777777777777,0.1269603711291271,0.6,1.0,72
99,0.8972222222222221,0.15741952759499558,0.6,1.0,72
