,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(high),1.7417605511801608,0.09256459071703467,1.5594866758648696,1.6797552899616481,1.7415329478957258,1.8036908088017731,1.9259341385031608,0.0009039117370757823
a(low),1.9889545035833254,0.09531737755316214,1.8046785866503452,1.9242846582948436,1.9885253703381227,2.051663215736466,2.179648964684168,0.0009360486537886174
a(medium),1.9336488489524482,0.095806731991051,1.7461744043765446,1.8703457012013902,1.9330151503774164,1.9957128370695862,2.124584834390155,0.0009605061035903998
a_std,0.4359162669542405,0.046752284900336234,0.35470371002995216,0.4028331105114414,0.432640300327502,0.46463033449882724,0.5374686084101462,0.0006127846085569957
a_subj(high).2,1.5318723961997414,0.08462567037713829,1.3717702262308502,1.4741520481700014,1.5289751158694471,1.5869218145905797,1.7074957175003582,0.0009258958409129935
a_subj(high).3,1.3757083529652732,0.07752271783387496,1.2296187714719449,1.3218951951638538,1.3741622986413755,1.4267598428516572,1.5331673528095044,0.0007408112798146212
a_subj(high).7,2.39190924893621,0.13137502161252296,2.1417706877470284,2.302764057471391,2.389442213522061,2.4803706438353434,2.6565738367997263,0.0012671099242016234
a_subj(high).8,1.584772892775462,0.08561184995315392,1.4219652416792732,1.5265043970993124,1.5830571672957314,1.6415584489282762,1.7580967105669392,0.0008602886328854633
a_subj(high).9,1.9159586177586674,0.10271836903147079,1.7229198301888975,1.8461199050228303,1.9131811798922327,1.9827804091450685,2.1256599801824,0.0010885772377885157
a_subj(high).10,1.5381151262348935,0.08127341742270795,1.3857386201933033,1.4814906009496418,1.536393439785263,1.5911404770678097,1.705039812871036,0.0008966984061343464
a_subj(high).11,1.4166625728426165,0.08313798197713283,1.2626855522217495,1.3596280391459457,1.414197764353264,1.4721971102552986,1.5855644910475062,0.001093790531817402
a_subj(high).12,1.6702724307192285,0.09221485802969309,1.5006883549661005,1.605601527855811,1.6665400399507106,1.7310565847790573,1.8583634942800142,0.0009509387978083658
a_subj(high).13,1.061495621653291,0.06601134654377419,0.9384199804198428,1.0160884513174886,1.0585042886778508,1.1051659169031782,1.1964637010721488,0.0006502903276586443
a_subj(high).15,1.5227774003266077,0.09146419210581558,1.3491511929621427,1.4601858531766083,1.5202995722128496,1.5823557354679432,1.7091078077688333,0.0008986256751966545
a_subj(high).16,1.3617006321306728,0.07187565979538516,1.222426504562206,1.312990340083255,1.3614865414854964,1.4097414348223318,1.5051916384131645,0.001007605784162455
a_subj(high).17,1.6308739304218132,0.08603747311474509,1.468419017938474,1.5722150610489232,1.629075783026483,1.6881489148881044,1.802515901596181,0.0009353801368368654
a_subj(high).18,1.8500743572693574,0.11797919533691169,1.628250519983119,1.7695244730210016,1.847331624940562,1.9271713887713058,2.090285535643771,0.0013010888089892833
a_subj(high).19,1.9720845137899727,0.13474188982231106,1.719601729532831,1.880989188309274,1.9670127256469305,2.0599055802289223,2.2462754520497885,0.001845141952776339
