role,value_cond,OV_2,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,mu_log,sigma_log,se_ms,se_log,geom_mean_ms,geom_sd_multiplier
First,E>S,1,E,21,614,229.05653523344566,81.3035745679494,201.0,5.25875680874148,0.29991592329189676,17.741894510862604,0.06544702002893744,192.24234867064956,1.3497453206619279
First,E>S,1,S,20,298,223.9186074507389,94.08103911637956,164.5,5.170096480968928,0.3462537308906944,21.037159885804144,0.07742468797345115,175.93181073681933,1.4137612852231278
First,E>S,2,E,21,962,235.48726171078513,75.29323750869527,204.0,5.27945160405528,0.31321638384639366,16.430331438184968,0.06834941847030679,196.2622164310462,1.36781747261385
First,E>S,2,S,21,438,245.06431876417406,95.7047990860133,180.0,5.303419535082313,0.2989439118317538,20.884499342009356,0.06523490973881983,201.0230413522262,1.3484339901593545
First,E>S,3,E,21,630,244.19764107199975,82.8753350053084,203.5,5.321512466125949,0.27656118196996055,18.084880757459487,0.060350597650657166,204.69323957863418,1.3185876240383225
First,E>S,3,S,21,263,250.1064224565042,93.04769225746054,206.0,5.33336969341174,0.2983004497461157,20.304671095750923,0.06509449480004503,207.13478018976284,1.3475666031069702
First,S>E,1,E,21,853,223.66816366071765,57.03042714328945,200.0,5.266219286509878,0.23060642192317973,12.445059490466098,0.05032244686694738,193.68231911497722,1.259363484038335
First,S>E,1,S,21,356,232.31580213159162,76.91958763913591,193.0,5.259146471053727,0.2600495052887754,16.78523013243476,0.056747454401030115,192.3172728653638,1.296994293153501
First,S>E,2,E,21,897,245.18132261596995,71.4787203427973,208.5,5.323259378921498,0.26143639495153914,15.597935549973737,0.057050098537228526,205.05113333158926,1.2987943290684154
First,S>E,2,S,20,411,238.72028674912963,89.28011888009067,184.0,5.256331209332734,0.33805399029406863,19.96364148551451,0.07559117023625915,191.7766108184561,1.4022162074270477
First,S>E,3,E,21,500,238.3678024423181,58.5833331538391,209.0,5.327985087250586,0.2553987814808296,12.783931363823035,0.05573258326358988,206.02243842492425,1.2909763356915631
First,S>E,3,S,19,209,263.4989415170856,119.03875902445816,197.5,5.341718361196912,0.3605044636932465,27.30936426063702,0.08270539610179943,208.8713184604628,1.4340526596205474
Middle,E>S,1,E,21,292,220.86603954037759,45.35703736220463,200.5,5.312910726111205,0.1920176571936592,9.897717000535376,0.04190168804085834,202.94007250241185,1.211691911854756
Middle,E>S,1,S,21,305,239.25205330164152,58.31246369952407,198.0,5.387258562960774,0.2221376034298586,12.724822802973035,0.04847439916254329,218.60327623047897,1.2487431973895078
Middle,E>S,2,E,21,359,207.479645131405,46.76049109336096,188.5,5.23453977981463,0.20750317916719505,10.203975712792142,0.045280905975126434,187.6427294977865,1.230601629122203
Middle,E>S,2,S,20,423,218.2283471386736,43.51271354800223,197.25,5.2845523894874376,0.19270467940001496,9.729738537880904,0.04309007627207368,197.26586540846375,1.2125246571299555
Middle,E>S,3,E,20,277,228.15465601439013,77.43931798617645,196.125,5.303352780735406,0.2586281123307991,17.315957914831266,0.05783100400641183,201.00962263827134,1.2951520641744894
Middle,E>S,3,S,20,268,229.34920586283073,43.438780084347336,205.75,5.347579604251209,0.19002073782596454,9.713206512826469,0.04248992869135223,210.0991588453772,1.2092746751249805
Middle,S>E,1,E,21,411,242.60635010922527,79.76138342828993,206.0,5.374597039546678,0.24195560585031664,17.405360814025475,0.052799041839427435,215.85287461127083,1.2737376450613371
Middle,S>E,1,S,21,441,227.84779931561354,40.85834613432332,219.125,5.356356109234049,0.18875573208735344,8.916022091963951,0.04118987762605248,211.95121054219067,1.20774590287809
Middle,S>E,2,E,21,392,225.90473014788066,46.93055201821533,205.5,5.322401188356354,0.21025674493951563,10.241086049025444,0.04588178328858827,204.87523587115803,1.2339948412198816
Middle,S>E,2,S,20,362,222.73765890489372,46.97488044339556,220.375,5.315687533408639,0.21276149274037065,10.503902590635793,0.047574916076179675,203.50438110219793,1.2370895612132813
Middle,S>E,3,E,21,191,227.33268570054284,68.50658995040047,204.3333333333333,5.301252663240852,0.3290883620891561,14.949363526238628,0.07181296807631399,200.58792177886355,1.389700647014949
Middle,S>E,3,S,21,256,214.90571603734034,57.83398281528181,207.0,5.248940602974644,0.3912176575280952,12.620409713895436,0.08537069184884793,190.36449002130152,1.4787803460619469
Final,E>S,1,E,21,433,447.57883491729496,101.39902198651141,421.0,5.9778322757776134,0.2510356825070737,22.12708064988953,0.05478047701064604,394.5840909125302,1.285355948235636
Final,E>S,1,S,21,479,454.04044840000574,102.37921071648678,419.0,5.945935198764768,0.27880013137376153,22.340975366577847,0.06083917646589975,382.1966240264851,1.3215431824512374
Final,E>S,2,E,21,630,460.9972092321902,80.17825227661764,410.5,6.00591054939513,0.1881580644766432,17.496329054612655,0.041059455860980906,405.8203400187232,1.2070242879343918
Final,E>S,2,S,21,773,468.0243482537938,98.90749393071549,409.0,5.995239347928388,0.20824531907793634,21.583384654089958,0.04544285418070832,401.5127737416353,1.2315152466794912
Final,E>S,3,E,21,389,465.2142762023088,99.21668344912263,441.0,5.991047408848537,0.24467253628013447,21.650855338479843,0.05339192466574025,399.8331794922492,1.2772030070708644
Final,E>S,3,S,21,505,460.30698937345744,104.70872594608818,389.0,5.992352970282267,0.22722699315704376,22.84931726525408,0.04958499505139837,400.3555271756204,1.255114738064117
Final,S>E,1,E,21,588,489.3332559185136,79.85905027509216,449.0,6.06397491067853,0.2036402098783922,17.426673467280658,0.044437936966877443,430.0815795937574,1.2258570228564258
Final,S>E,1,S,21,621,490.8554579210125,97.33500958848242,432.0,6.065956829909455,0.2046692150065604,21.240240438498724,0.04466248429498833,430.9348117865749,1.2271190852423184
Final,S>E,2,E,21,644,484.4649651760967,93.14260094440209,436.5,6.037935834175825,0.2006233912008807,20.325381869180376,0.043779613159846346,419.02719995511796,1.2221644072703493
Final,S>E,2,S,21,664,461.65290471914705,108.84044412095064,419.5,5.983621861206154,0.2785562360097642,23.750932088422267,0.06078595413412992,396.87519508760454,1.3212209034984839
Final,S>E,3,E,21,379,482.47957924477606,89.58308700853533,456.0,6.039887373575139,0.21260984899889274,19.548632247829918,0.04639527269193129,419.8457464983425,1.2369019785469038
Final,S>E,3,S,21,330,440.29498202994444,85.0238930950564,405.0,5.936057116827389,0.23657937285452904,18.553734570853766,0.051625851617669534,378.4398399165628,1.2669081097425436
