role,value_cond3,OV_2,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
First,E>S,1,E,21,0.6661808897000535,0.23840562313749808,0.6444444444444445,0.05202437210146192,66.61808897000535,5.202437210146192,64.44444444444444
First,E>S,1,S,21,0.33381911029994654,0.23840562313749808,0.35555555555555557,0.05202437210146192,33.381911029994654,5.202437210146192,35.55555555555556
First,E>S,2,E,21,0.680185152157512,0.19656108503976966,0.7142857142857143,0.04289314527987602,68.0185152157512,4.289314527987602,71.42857142857143
First,E>S,2,S,21,0.31981484784248804,0.19656108503976963,0.2857142857142857,0.04289314527987601,31.981484784248803,4.289314527987601,28.57142857142857
First,E>S,3,E,21,0.6989005703291418,0.18134434997543772,0.7727272727272727,0.039572581457857456,69.89005703291417,3.9572581457857456,77.27272727272727
First,E>S,3,S,21,0.30109942967085823,0.18134434997543772,0.22727272727272727,0.039572581457857456,30.10994296708582,3.9572581457857456,22.727272727272727
First,E=S,1,E,21,0.67365003417635,0.20289912580201203,0.75,0.04427621916324227,67.36500341763501,4.427621916324227,75.0
First,E=S,1,S,21,0.32634996582365006,0.202899125802012,0.25,0.044276219163242266,32.634996582365005,4.4276219163242265,25.0
First,E=S,2,E,21,0.65,0.28548204847240394,0.8,0.062297290317897304,65.0,6.229729031789731,80.0
First,E=S,2,S,21,0.35000000000000003,0.28548204847240394,0.2,0.062297290317897304,35.0,6.229729031789731,20.0
First,E=S,3,E,21,0.7088194873909159,0.21050430405707596,0.75,0.04593580511693097,70.8819487390916,4.593580511693097,75.0
First,E=S,3,S,21,0.29118051260908406,0.21050430405707596,0.25,0.04593580511693097,29.118051260908405,4.593580511693097,25.0
First,S>E,1,E,21,0.7037064428098231,0.1608635490973526,0.75,0.03510330429989826,70.3706442809823,3.510330429989826,75.0
First,S>E,1,S,21,0.2962935571901769,0.1608635490973526,0.25,0.03510330429989826,29.629355719017692,3.510330429989826,25.0
First,S>E,2,E,21,0.6791422792361309,0.18905658586586901,0.7076923076923077,0.04125552930286967,67.9142279236131,4.125552930286967,70.76923076923077
First,S>E,2,S,21,0.3208577207638691,0.18905658586586901,0.2923076923076923,0.04125552930286967,32.08577207638691,4.125552930286967,29.230769230769234
First,S>E,3,E,21,0.7009458510879324,0.17432891297951647,0.7142857142857143,0.03804168759752399,70.09458510879324,3.8041687597523994,71.42857142857143
First,S>E,3,S,21,0.2990541489120676,0.17432891297951644,0.2857142857142857,0.038041687597523986,29.90541489120676,3.8041687597523985,28.57142857142857
Middle,E>S,1,E,21,0.48205268653369193,0.1274279978241595,0.5,0.027807068842184715,48.205268653369195,2.7807068842184717,50.0
Middle,E>S,1,S,21,0.5179473134663081,0.1274279978241595,0.5,0.027807068842184715,51.794731346630805,2.7807068842184717,50.0
Middle,E>S,2,E,21,0.4811104305021462,0.15458060327490095,0.46511627906976744,0.03373225311805582,48.11104305021462,3.373225311805582,46.51162790697674
Middle,E>S,2,S,21,0.5188895694978538,0.15458060327490095,0.5348837209302325,0.03373225311805582,51.88895694978538,3.373225311805582,53.48837209302325
Middle,E>S,3,E,20,0.5209073243003196,0.1494118662373358,0.5232683982683983,0.03340950895517886,52.09073243003196,3.340950895517886,52.32683982683983
Middle,E>S,3,S,20,0.4790926756996804,0.1494118662373358,0.47673160173160173,0.03340950895517886,47.90926756996804,3.340950895517886,47.67316017316017
Middle,E=S,1,E,20,0.5118863736452746,0.13606928666883567,0.5504807692307692,0.030426017464142245,51.18863736452746,3.0426017464142245,55.04807692307692
Middle,E=S,1,S,20,0.4881136263547254,0.13606928666883564,0.4495192307692308,0.030426017464142238,48.81136263547254,3.0426017464142237,44.95192307692308
Middle,E=S,2,E,20,0.43083333333333335,0.3530682140078459,0.3333333333333333,0.07894845272159869,43.083333333333336,7.894845272159869,33.33333333333333
Middle,E=S,2,S,20,0.5691666666666666,0.3530682140078459,0.6666666666666666,0.07894845272159869,56.91666666666666,7.894845272159869,66.66666666666666
Middle,E=S,3,E,20,0.5021095571095571,0.1596651739381535,0.4807692307692308,0.0357022182565039,50.21095571095571,3.5702218256503904,48.07692307692308
Middle,E=S,3,S,20,0.49789044289044293,0.1596651739381535,0.5192307692307692,0.0357022182565039,49.78904428904429,3.5702218256503904,51.92307692307692
Middle,S>E,1,E,21,0.4853334715601648,0.09424459749958422,0.5,0.02056585723249955,48.53334715601648,2.056585723249955,50.0
Middle,S>E,1,S,21,0.5146665284398352,0.09424459749958422,0.5,0.02056585723249955,51.46665284398352,2.056585723249955,50.0
Middle,S>E,2,E,21,0.5525466446577996,0.17059623306010321,0.5576923076923077,0.03722715006058338,55.25466446577995,3.722715006058338,55.769230769230774
Middle,S>E,2,S,21,0.4474533553422005,0.17059623306010321,0.4423076923076923,0.03722715006058338,44.74533553422005,3.722715006058338,44.230769230769226
Middle,S>E,3,E,21,0.4464366363640829,0.1615729518645593,0.42857142857142855,0.035258108675085685,44.643663636408284,3.5258108675085684,42.857142857142854
Middle,S>E,3,S,21,0.5535633636359171,0.1615729518645593,0.5714285714285714,0.035258108675085685,55.35633636359171,3.5258108675085684,57.14285714285714
Final,E>S,1,E,21,0.47874656637722834,0.10096119850293288,0.4888888888888889,0.022031539733007244,47.874656637722836,2.2031539733007244,48.888888888888886
Final,E>S,1,S,21,0.5212534336227717,0.10096119850293289,0.5111111111111111,0.022031539733007248,52.125343362277164,2.203153973300725,51.11111111111111
Final,E>S,2,E,21,0.4546837059835174,0.09263447423817958,0.44285714285714284,0.020214499531375937,45.46837059835174,2.021449953137594,44.285714285714285
Final,E>S,2,S,21,0.5453162940164825,0.09263447423817958,0.5571428571428572,0.020214499531375937,54.53162940164825,2.021449953137594,55.714285714285715
Final,E>S,3,E,21,0.4414656771799629,0.11964194020983898,0.4444444444444444,0.02610801177633181,44.14656771799629,2.610801177633181,44.44444444444444
Final,E>S,3,S,21,0.558534322820037,0.11964194020983898,0.5555555555555556,0.02610801177633181,55.8534322820037,2.610801177633181,55.55555555555556
Final,E=S,1,E,21,0.48437001594896334,0.12602150849120036,0.5,0.027500147707306945,48.43700159489634,2.7500147707306946,50.0
Final,E=S,1,S,21,0.5156299840510367,0.12602150849120033,0.5,0.027500147707306938,51.56299840510366,2.7500147707306937,50.0
Final,E=S,2,E,21,0.4666666666666667,0.24100484089190685,0.5,0.052591567916092936,46.666666666666664,5.259156791609294,50.0
Final,E=S,2,S,21,0.5333333333333334,0.24100484089190685,0.5,0.052591567916092936,53.33333333333334,5.259156791609294,50.0
Final,E=S,3,E,21,0.5137291280148423,0.11136026753970313,0.5333333333333333,0.024300802638629684,51.372912801484226,2.430080263862968,53.333333333333336
Final,E=S,3,S,21,0.48627087198515767,0.11136026753970311,0.4666666666666667,0.02430080263862968,48.62708719851577,2.430080263862968,46.666666666666664
Final,S>E,1,E,21,0.48764036241460673,0.10921340532742901,0.5,0.02383231889603985,48.76403624146067,2.383231889603985,50.0
Final,S>E,1,S,21,0.5123596375853933,0.109213405327429,0.5,0.023832318896039848,51.23596375853933,2.383231889603985,50.0
Final,S>E,2,E,21,0.49534561831902985,0.09215773611647653,0.4782608695652174,0.020110466744262825,49.534561831902984,2.0110466744262827,47.82608695652174
Final,S>E,2,S,21,0.5046543816809701,0.09215773611647653,0.5217391304347826,0.020110466744262825,50.46543816809701,2.0110466744262827,52.17391304347826
Final,S>E,3,E,21,0.5369351745147447,0.10220458949403406,0.5142857142857142,0.022302869891823784,53.69351745147447,2.230286989182378,51.42857142857142
Final,S>E,3,S,21,0.4630648254852553,0.10220458949403406,0.4857142857142857,0.022302869891823784,46.30648254852553,2.230286989182378,48.57142857142857
