role,value_cond3,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
First,E>S,E,21,0.6818500130660338,0.19830312750757398,0.746268656716418,0.04327329011190178,68.18500130660338,4.327329011190177,74.6268656716418
First,E>S,S,21,0.3181499869339662,0.19830312750757395,0.2537313432835821,0.04327329011190178,31.814998693396618,4.327329011190177,25.37313432835821
First,E=S,E,21,0.682864932002863,0.19609569317804398,0.75,0.042791588449677245,68.2864932002863,4.279158844967725,75.0
First,E=S,S,21,0.317135067997137,0.19609569317804398,0.25,0.042791588449677245,31.7135067997137,4.279158844967725,25.0
First,S>E,E,21,0.6930922922706196,0.1695003460480532,0.7375,0.0369880079088768,69.30922922706196,3.6988007908876797,73.75
First,S>E,S,21,0.3069077077293804,0.1695003460480532,0.2625,0.0369880079088768,30.69077077293804,3.6988007908876797,26.25
Middle,E>S,E,21,0.49018367074872565,0.08359002433252359,0.48,0.018240838754618564,49.018367074872565,1.8240838754618565,48.0
Middle,E>S,S,21,0.5098163292512743,0.08359002433252359,0.52,0.018240838754618564,50.98163292512743,1.8240838754618565,52.0
Middle,E=S,E,20,0.49783193573003715,0.10064327222425282,0.5,0.022504519817144575,49.783193573003715,2.2504519817144573,50.0
Middle,E=S,S,20,0.5021680642699629,0.10064327222425283,0.5,0.02250451981714458,50.216806426996285,2.2504519817144577,50.0
Middle,S>E,E,21,0.496337021553214,0.10374248727258899,0.5096153846153846,0.022638466700458663,49.6337021553214,2.2638466700458664,50.96153846153846
Middle,S>E,S,21,0.5036629784467859,0.10374248727258902,0.49038461538461536,0.022638466700458666,50.366297844678584,2.263846670045867,49.03846153846153
Final,E>S,E,21,0.4577110909022466,0.08756113907249158,0.4625,0.01910740703505943,45.77110909022466,1.9107407035059432,46.25
Final,E>S,S,21,0.5422889090977534,0.08756113907249158,0.5375,0.01910740703505943,54.22889090977534,1.9107407035059432,53.75
Final,E=S,E,21,0.4934502689428798,0.090719760885484,0.5,0.019796674823144025,49.34502689428798,1.9796674823144025,50.0
Final,E=S,S,21,0.5065497310571202,0.09071976088548399,0.5,0.019796674823144022,50.65497310571202,1.9796674823144023,50.0
Final,S>E,E,21,0.5014743151363634,0.07177401468197589,0.51875,0.015662374057667922,50.14743151363634,1.5662374057667923,51.87500000000001
Final,S>E,S,21,0.49852568486363663,0.07177401468197589,0.48125,0.015662374057667922,49.852568486363666,1.5662374057667923,48.125
