role,value_cond,OV_2,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,mu_log,sigma_log,se_ms,se_log,geom_mean_ms,geom_sd_multiplier
First,E>S,1,E,17,459,254.61363955741697,83.46527228578569,198.0,5.350690332916671,0.28103420383741734,20.24330198266075,0.06816080628429622,210.75373790246206,1.3244989061057428
First,E>S,1,S,16,231,287.6192792088777,179.41869073812714,179.5,5.3772176531673574,0.45985860950229634,44.854672684531785,0.11496465237557409,216.41928343972893,1.5838500278184253
First,E>S,2,E,17,698,273.245111049017,114.57972907082204,205.0,5.386708016137263,0.3693377455304177,27.789666206685514,0.08957756096172995,218.48295801458593,1.4467761633483582
First,E>S,2,S,16,374,272.95109898078704,108.68632792396694,191.5,5.359540040353496,0.32906155759546024,27.171581980991736,0.08226538939886506,212.6271240572763,1.3896633972919492
First,E>S,3,E,17,429,309.7778220774817,141.01106551322889,208.0,5.479364920615423,0.40499073086726045,34.200206911290266,0.09822468004481232,239.69443403289122,1.4992886028872845
First,E>S,3,S,16,246,291.241640241942,121.91684880739948,205.75,5.412818075966041,0.47409267037660713,30.47921220184987,0.11852316759415178,224.2626873087242,1.6065558602658956
First,S>E,1,E,17,614,258.05636872760255,97.46671664276379,199.0,5.362604343147932,0.3273105944081985,23.639151041191873,0.07938447959580609,213.27967724735984,1.3872322768629188
First,S>E,1,S,16,308,305.85552478799866,244.93013930697035,205.25,5.431902454001082,0.5203013795942315,61.23253482674259,0.13007534489855788,228.5837020045979,1.682534654906113
First,S>E,2,E,17,662,290.5733595284159,121.28794636188738,200.0,5.445206899564466,0.3608067668214185,29.41664788025358,0.08750849470837117,231.6452020458125,1.4344862437591328
First,S>E,2,S,16,341,245.53126646745068,94.27841443153365,191.75,5.2730103185458415,0.40197257237838685,23.569603607883412,0.10049314309459671,195.00209820779676,1.494770334118676
First,S>E,3,E,17,372,272.3534989770765,98.78202743580944,211.0,5.398102187354282,0.29863342638737456,23.958160766500235,0.07242924472560362,220.98662677451182,1.3480153860213127
First,S>E,3,S,15,171,284.1887158404032,119.85388561020744,194.5,5.434321807642865,0.35972243676580556,30.94614019643881,0.09287993379007436,229.13739633761858,1.4329316302200767
