role,value_cond3,OV_2,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
First,E>S,1,E,17,0.6618750106510205,0.24058726436292652,0.7333333333333333,0.05835098253804386,66.18750106510205,5.835098253804386,73.33333333333333
First,E>S,1,S,17,0.33812498934897955,0.24058726436292652,0.26666666666666666,0.05835098253804386,33.81249893489795,5.835098253804386,26.666666666666668
First,E>S,2,E,17,0.6384477308710046,0.24573534555476823,0.6428571428571429,0.05959957562764498,63.84477308710046,5.959957562764498,64.28571428571429
First,E>S,2,S,17,0.36155226912899546,0.24573534555476823,0.35714285714285715,0.05959957562764498,36.15522691289954,5.959957562764498,35.714285714285715
First,E>S,3,E,17,0.6261499116013857,0.2615967430405632,0.6888888888888889,0.06344652958081198,62.614991160138565,6.344652958081198,68.88888888888889
First,E>S,3,S,17,0.37385008839861433,0.26159674304056313,0.3111111111111111,0.06344652958081197,37.385008839861435,6.344652958081197,31.11111111111111
First,E=S,1,E,17,0.6375000000000001,0.24685522072664373,0.5,0.059871185252418475,63.75000000000001,5.987118525241848,50.0
First,E=S,1,S,17,0.3625,0.24685522072664376,0.5,0.05987118525241848,36.25,5.987118525241848,50.0
First,E=S,2,E,17,0.6637254901960784,0.3263984493106827,0.8,0.07916325191445626,66.37254901960785,7.916325191445626,80.0
First,E=S,2,S,17,0.3362745098039216,0.3263984493106827,0.2,0.07916325191445626,33.62745098039216,7.916325191445626,20.0
First,E=S,3,E,17,0.6315233785822022,0.286207381586139,0.6,0.06941548618300648,63.15233785822022,6.941548618300648,60.0
First,E=S,3,S,17,0.3684766214177979,0.286207381586139,0.4,0.06941548618300648,36.84766214177979,6.941548618300648,40.0
First,S>E,1,E,17,0.658728750120738,0.2472032806289961,0.6666666666666666,0.059955602178385595,65.87287501207379,5.99556021783856,66.66666666666666
First,S>E,1,S,17,0.34127124987926205,0.24720328062899613,0.3333333333333333,0.0599556021783856,34.12712498792621,5.99556021783856,33.33333333333333
First,S>E,2,E,17,0.6536756056143459,0.24070723768091493,0.6875,0.05838008034170986,65.36756056143459,5.838008034170986,68.75
First,S>E,2,S,17,0.34632439438565416,0.24070723768091493,0.3125,0.05838008034170986,34.63243943856541,5.838008034170986,31.25
First,S>E,3,E,17,0.6819949058054595,0.22694593793580906,0.7142857142857143,0.05504247490671828,68.19949058054596,5.504247490671828,71.42857142857143
First,S>E,3,S,17,0.31800509419454054,0.22694593793580906,0.2857142857142857,0.05504247490671828,31.800509419454055,5.504247490671828,28.57142857142857
Middle,E>S,1,E,16,0.45948619322561324,0.19272161332014265,0.46561969439728357,0.04818040333003566,45.94861932256132,4.818040333003566,46.56196943972836
Middle,E>S,1,S,16,0.5405138067743868,0.19272161332014268,0.5343803056027165,0.04818040333003567,54.05138067743868,4.818040333003567,53.438030560271656
Middle,E>S,2,E,17,0.4940526003064703,0.1762043306782051,0.5,0.042735827475147176,49.40526003064703,4.273582747514718,50.0
Middle,E>S,2,S,17,0.5059473996935298,0.1762043306782051,0.5,0.042735827475147176,50.59473996935297,4.273582747514718,50.0
