,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(high),1.7741247987605981,0.10534143326850831,1.5676602394263899,1.7036371427085235,1.7726942235301246,1.8446396343156295,1.9827156229794196,0.0008995831786999283
a(low),1.9199667377071625,0.10649893474474204,1.712914370182676,1.8479586847693201,1.919450249794463,1.9903192623185872,2.1315774284409343,0.0008648635860044034
a(medium),1.8060469921728255,0.10600008309207656,1.596831607141517,1.7369068847316032,1.8063376507104736,1.8747872733284212,2.016337979378255,0.0010913806068380818
a_std,0.4809035852560436,0.0512437187117817,0.39131256994546526,0.4448378955423805,0.4772928609491601,0.5124509462920923,0.5915233084892046,0.0005614222455840071
a_subj(high).1,2.2547241367324293,0.1181034248242118,2.032787515664921,2.174937147708237,2.2518615634254115,2.33240383067337,2.498149060388527,0.0013221210286769474
a_subj(high).3,2.1787953818248043,0.10844821517318906,1.9763955461690697,2.10452430311084,2.1754608365083192,2.2494545978148293,2.400332589124126,0.001051358010196096
a_subj(high).4,1.64034167048688,0.07712260916705056,1.4938062028968406,1.5873482640363497,1.6386988112179421,1.691778964244318,1.7942053992853861,0.000807879699847555
a_subj(high).5,1.911726644531415,0.10149462465472887,1.7211735072925252,1.8415544556476247,1.9081446517517882,1.978993197033039,2.117024625656855,0.0012083263785157771
a_subj(high).7,2.0305814296725195,0.09647171906290437,1.849710574704796,1.9644420071659718,2.027419336054992,2.0945039626509425,2.2298616771750748,0.0009305823677881046
a_subj(high).8,2.110256867645973,0.09916061336258132,1.923375068053699,2.040788858406309,2.1074532224000424,2.1759875243828537,2.3104933560233074,0.0011067117080296091
a_subj(high).10,1.207119560996213,0.07144599802464066,1.075853816497161,1.1584058811712654,1.2038788404626615,1.2526858442033064,1.3544584865865428,0.0006818416445662983
a_subj(high).11,1.6917740628658124,0.08152423327831626,1.5396551845872457,1.6357047981207475,1.6888007643563063,1.7455145792981892,1.8566964545223856,0.0008132180278446601
a_subj(high).12,1.78789941987483,0.08900731870107766,1.6193276333872852,1.726706396448564,1.7856301435157529,1.846920970105915,1.9674382364713663,0.0007647656592062677
a_subj(high).13,1.5717633720985642,0.09636425643481528,1.3953180807050862,1.5042281575549776,1.5678758049785906,1.6363896714557282,1.7699511130403298,0.0011623427868359018
a_subj(high).15,1.5578709207770032,0.07262505938874357,1.4200892270325454,1.507105313484844,1.557262710374506,1.6063901091683426,1.7040679692364977,0.000733707623995479
a_subj(high).16,2.8932247499121413,0.1574658752678552,2.5983182912165548,2.785437758808585,2.8894976745528256,2.9980571739145843,3.21359199640322,0.0016778798472344859
a_subj(high).17,2.126133514502604,0.15345147842523074,1.8453888449639277,2.019512344850151,2.119482067840136,2.2272092169259827,2.4455666266306952,0.00140231312493293
a_subj(high).19,1.5163632795252464,0.07733223307107723,1.372880314372065,1.4627138175263759,1.5141467409818952,1.5663182456736255,1.6766821976230921,0.0009316320896612593
a_subj(high).21,1.4096354861394982,0.07178850323114362,1.2739750618282089,1.3595070867566927,1.4081149971653126,1.4569628007599644,1.5550269299724948,0.0006871780203829194
a_subj(high).22,1.2293511377349227,0.06133052546108861,1.1135202098652661,1.1867258730842096,1.2280871800165287,1.2697060450761248,1.3532523467636195,0.0005621189977253903
a_subj(high).23,1.50097105995393,0.08352668852581767,1.3425449280409496,1.4434334153194286,1.4994208846174009,1.555532250267907,1.6705789867151153,0.001060271307541508
a_subj(high).24,1.8206762118440083,0.10191015173594799,1.6305622831944824,1.7504458951556718,1.817254939344126,1.887387370033263,2.028139556009676,0.001343309542646051
a_subj(high).25,1.3123670185956942,0.11614827236674516,1.0950555822136647,1.233323577581536,1.3083189560656967,1.3868849278055708,1.552604277077743,0.0013407728092974674
a_subj(high).27,1.3161115323574966,0.06479282189587958,1.1924329747637683,1.2714220254630246,1.3154813113512682,1.3588093760090056,1.4466372077802203,0.0005108158051234528
a_subj(low).1,2.364787895602188,0.09637662302121125,2.1822045178890916,2.297779127228129,2.362830020648183,2.4297593290933506,2.5566432041164218,0.0010525447747012837
a_subj(low).3,2.3252049212919457,0.10812182284674654,2.1214267042710793,2.2511765271502107,2.322025589353068,2.3976155374496244,2.5408421981140883,0.0010501747678162902
a_subj(low).4,2.051624240251135,0.09957973925392977,1.8654126564456883,1.9820675264836352,2.047976636655986,2.116080383676987,2.2579980723039297,0.001120637967118943
a_subj(low).5,2.13131406366749,0.1035319859649001,1.9358861280320832,2.05956419664807,2.127853721464069,2.1998382526833424,2.3442995258875623,0.0011047080031693006
a_subj(low).7,2.20929390931469,0.09533242994915453,2.0283886135261455,2.1432989168786887,2.2073270530106517,2.2726693870934342,2.4015939442800485,0.0011158125878387962
a_subj(low).8,1.7929158413877762,0.08027500968777163,1.6401445606877305,1.737563484673784,1.7922226595347597,1.8468873847250404,1.9535711057971339,0.0011070023441810124
a_subj(low).10,1.253841409079387,0.062102854089700225,1.1372422870999856,1.210867061663608,1.2521780583967952,1.2949549717243494,1.379326086013337,0.0006163905350229089
a_subj(low).11,1.7701075926220837,0.08048927778705814,1.6172555690840973,1.7152536077380731,1.7677602257635558,1.8227218450679272,1.935067480846839,0.0008050208241068473
a_subj(low).12,2.235058978496464,0.09985801649012209,2.047156477762891,2.165881919941073,2.2328533328006768,2.300682529368227,2.4380733399401935,0.000957196002722366
