"RT_group","ValueDifference_bin","OVcate_2","FinalFixLocBinary","p_choose_right","n","ci"
"early","E>>S","low","Line: Left",0.111111111111111,9,0.217777777777778
"early","E>>S","low","Dotted: Right",0,18,0
"early","E>>S","medium","Line: Left",0,46,0
"early","E>>S","medium","Dotted: Right",0,81,0
"early","E>>S","high","Line: Left",0,6,0
"early","E>>S","high","Dotted: Right",0,9,0
"early","E>S","low","Line: Left",0.333333333333333,12,0.278582269371331
"early","E>S","low","Dotted: Right",0.2,30,0.145585145130809
"early","E>S","medium","Line: Left",0.0666666666666667,30,0.0907882889472078
"early","E>S","medium","Dotted: Right",0.119047619047619,42,0.0991289981064202
"early","E>S","high","Line: Left",0.307692307692308,26,0.180923076923077
"early","E>S","high","Dotted: Right",0.310344827586207,29,0.171362310958747
"early","E~S","low","Line: Left",0.413793103448276,29,0.182429110888053
"early","E~S","low","Dotted: Right",0.37037037037037,27,0.185622276191712
"early","E~S","medium","Line: Left",0.636363636363636,11,0.29815520945578
"early","E~S","medium","Dotted: Right",0.3,10,0.299394945403782
"early","E~S","high","Line: Left",0.58,50,0.138196382007634
"early","E~S","high","Dotted: Right",0.69047619047619,42,0.141509477595398
"early","S>E","low","Line: Left",0.85,20,0.160558892294189
"early","S>E","low","Dotted: Right",0.695652173913043,23,0.192276366372665
"early","S>E","medium","Line: Left",0.947368421052632,38,0.0719511700856482
"early","S>E","medium","Dotted: Right",0.84,25,0.146672969561538
"early","S>E","high","Line: Left",0.828571428571429,35,0.126684415681135
"early","S>E","high","Dotted: Right",0.785714285714286,28,0.154775823549919
"early","S>>E","low","Line: Left",0.923076923076923,13,0.150769230769231
"early","S>>E","low","Dotted: Right",0.916666666666667,12,0.163333333333333
"early","S>>E","medium","Line: Left",1,69,0
"early","S>>E","medium","Dotted: Right",0.964285714285714,56,0.0490454334821759
"early","S>>E","high","Line: Left",1,9,0
"early","S>>E","high","Dotted: Right",0.9,10,0.196
"late","E>>S","low","Line: Left",0.114285714285714,140,0.0528921802709337
"late","E>>S","low","Dotted: Right",0.0212765957446809,141,0.0239041393249655
"late","E>>S","medium","Line: Left",0.0367231638418079,354,0.0196206920853286
"late","E>>S","medium","Dotted: Right",0.041958041958042,429,0.0189947708278901
"late","E>>S","high","Line: Left",0.0256410256410256,78,0.0353051369152782
"late","E>>S","high","Dotted: Right",0.0147058823529412,136,0.0203056864502803
"late","E>S","low","Line: Left",0.273584905660377,212,0.0601524526586654
"late","E>S","low","Dotted: Right",0.235294117647059,221,0.0560528218950953
"late","E>S","medium","Line: Left",0.122222222222222,180,0.0479840537229147
"late","E>S","medium","Dotted: Right",0.13265306122449,196,0.0476095228569523
"late","E>S","high","Line: Left",0.145631067961165,206,0.0482868507414337
"late","E>S","high","Dotted: Right",0.167300380228137,263,0.0451957994516299
"late","E~S","low","Line: Left",0.431972789115646,294,0.0567198438835848
"late","E~S","low","Dotted: Right",0.408536585365854,328,0.0532796809425613
"late","E~S","medium","Line: Left",0.5,82,0.108888888888889
"late","E~S","medium","Dotted: Right",0.539325842696629,89,0.104144724556218
"late","E~S","high","Line: Left",0.540650406504065,246,0.0624026401444084
"late","E~S","high","Dotted: Right",0.518828451882845,239,0.0634789090918145
"late","S>E","low","Line: Left",0.749128919860627,287,0.0502431241442711
"late","S>E","low","Dotted: Right",0.702875399361022,313,0.0507092574956986
"late","S>E","medium","Line: Left",0.895833333333333,144,0.0500686688521035
"late","S>E","medium","Dotted: Right",0.868965517241379,145,0.0551148837989451
"late","S>E","high","Line: Left",0.716346153846154,208,0.0614082475355857
"late","S>E","high","Dotted: Right",0.790055248618785,181,0.0594978210282335
"late","S>>E","low","Line: Left",0.944723618090452,199,0.0318306617103384
"late","S>>E","low","Dotted: Right",0.907692307692308,195,0.0407327264639275
"late","S>>E","medium","Line: Left",0.983695652173913,368,0.0129570200562671
"late","S>>E","medium","Dotted: Right",0.988038277511962,418,0.0104345035246205
"late","S>>E","high","Line: Left",0.963636363636364,55,0.0499286052875156
"late","S>>E","high","Dotted: Right",0.904761904761905,42,0.0898538409703635
